quarter,total_samples,action_accuracy,mae,rmse,avg_abs_error,avg_pred_return,avg_true_return,avg_action_strength,pred_sell,pred_hold,pred_buy,true_sell,true_hold,true_buy
2024Q3,56,0.7321428571428571,0.01844290764980932,0.022821276250631618,0.01844290764980932,0.005776117655581662,0.005868061151074601,0.016507457522675392,9,27,20,8,34,14
2024Q4,68,0.6470588235294118,0.01286040551477687,0.016630627813144488,0.01286040551477687,0.02374419928802287,0.018652903682189335,0.009756678523605357,0,24,44,2,40,26
2025Q1,66,0.696969696969697,0.014913831003165493,0.018325045119650232,0.014913831003165493,-0.009444879283281889,-0.01714687957957556,0.016285850011715383,17,36,13,28,32,6
2025Q2,67,0.7313432835820896,0.03257496960099731,0.043488372432636986,0.03257496960099731,-0.0005732098900115313,0.019132816615000145,0.031186937346164883,18,18,31,17,14,36
2025Q3,67,0.7611940298507462,0.00907122685031882,0.011616832638533681,0.00907122685031882,0.03214331724639259,0.026552421395291587,0.010089277203625704,0,20,47,0,30,37
2025Q4,48,0.5833333333333334,0.01419299098142801,0.01810363241570373,0.01419299098142801,0.020720655486608546,0.009663533677970312,0.010108689560244482,1,23,24,3,33,12
